i>>?    #    ,RAZON SOCIAL,CALLE Y NAMERO,COLONIA,MUNICIPIO,CADIGO POSTAL,ESTADO,No. LICENCIA,FECHA  LICENCIA,CLASIFICACION O GIRO,LINEAS AUTORIZADAS
268,MEXICO GREEN HOUSE S.P.R. DE R.L.,KILOMETRO 3.2 ENTRONQUE A ZACATEQUILLAS,COSIO,AGUASCALIENTES,60136,AGUASCALIENTES,15 PNV 01 001 027,17/Dec/2015,"FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES) FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SALO PLAGUICIDAS)","FORMULACIAN DE INSECTICIDAS BOTANICOS LAQUIDOS, FERTILIZANTES ORGANO- MINERALES SALIDOS Y LAQUIDOS, MEJORADORES DE SUELO LAQUIDOS E INOCULANTES SALIDOS."
269,MEZCLAS Y FERTILIZANTES  S. A DE C. V.,NORTE 11 MANZANA 1 LOTE 1,CIUDAD INDUSTRIAL,CELAYA,38010,GUANAJUATO,06FPNV110070016,16/Aug/2006,FORMULACION DE PLAGUICIDAS Y NUTRIENTES VEGETALES,"FORMULACION DE FERTILIZANTES, MEJORADORES DE SUELO Y REGULADORES DE CRECIMIENTO LIQUIDOS Y ENVASADO DE HERBICIDAS E INSECTICIDAS LIQUIDOS"
270,MEZCLAS Y FERTILIZANTES S.A. DE C.V.,"PONIENTE 4, MANZANA 7 LOTE 3",CIUDAD INDUSTRIAL,CELAYA,38010,GUANAJUATO,06FNV110070001,08/Feb/2016,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE FERTILIZANTES  SALIDOS
271,MIGUEL ANGEL OSUNA LIZARRAGA,LOTE 97 S/N,RANCHO SAN RAMON,ENSENADA,22920,BAJA CALIFORNIA,12NV020010007,08/Feb/2012,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES LIQUIDOS
272,MIGUEL CAMPOS BELMONT,AQULES SERDAN NO. 5,LOS ANGELES,ACOLMAN,55885,MAXICO,08NV150020021,30/Jul/2008,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FABRICACION DE FERTILIZANTES SOLIDOS Y LIQUIDOS
273,MIYAMONTE MEX S.A. DE C.V.,CONOCIDO S/N,EJIDO ESCOBEDO,ARTEAGA,,COAHUILA,06FNV050040003,14/Mar/2006,FORMULACION DE NUTRIENTES VEGETALES,FORMULACION DE FERTILIZANTES DE ORIGEN ORGANICO
274,MONTOYA RAMIREZ LAURA,CARR. CELAYA SALVA TIERRA KM 27 S/N,RANCHO LAS JARAS,SALVA TIERRA,,GUANAJUATO,98004,,FABRICA DE NUTRIENTES VEGETALES,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
275,NALCO DE MEXICO S. DE R.L DE C.V.,KM 52.5 CARRETERA MEXICO-TOLUCA,ZONA INDUSTRIAL,LERMA,52000,MAXICO,05FP150510012,30/Jun/2005,FORMULACION DE PLAGUICIDAS.,FORMULACION DE FUNGICIDAS Y BACTERICIDAS (BIOCIDAS) LIQUIDOS Y SOLIDOS
276,NAY-CHEM S.A. DE C.V.,"CARRETERA INTERNACIONAL No. 15, Km. 137",CORREDOR INDUSTRIAL LOTES 10 Y 11,ACAPONETA,63400,NAYARIT,04FPNV180010001,09/Sep/2004,FABRICACION DE NUTRIENTES VEGETALES Y PLAGUICIDAS,"AMARRE 800,VIGOR20-30-10,FRUCTY-K, NITRO-45,RAIZGRAN 400,CABAL PLUS,
VIGOR-L, HUMICO-12, FULVICO-360, BIOQUEL-B,BIOQUEL-Ca, Fe, Mo, MULTI, Zn, ACTIVAR, CITOKAS, HORMOKIN CALCIO, VITAL TF, ENERFER-Ca,K,Mg, MULTI, N, NPK, P,Zn,MULTIQUEL COMBI, CIPERNAY 200,ENDOSULFAN 35-E,NC-600,MALATION 1000,ROGONAY 400,PARATION METILICO 720,BIOCHEM 20, MALATION"
277,NEWBAUER S.A. DE C.V.,"Km. 102.86 CARRETERA 110 SAHUAYO-COLIMA, EN EL CRUCERO DE VISTA HERMOSA (SANTA CRUZ)",EJIDO LO DE OVEJO,ZAPOTILTIC,,JALISCO,14NV1412112,29/Aug/2014,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FABRICACION DE FERTILIZANTES QUAMICOS LAQUIDOS.
278,NOCON S.A. DE C.V.,AVENIDA JUAREZ No. 20,SAN SIMON,TEXCOCO,56200,ESTADO DE MEXICO,15 PNV 15 099 24,23/Nov/2015,"FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES) FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)","FORMULACION DE FUNGICIDAS E INSECTICIDAS MICROBIANOS E INSECTICIDAS BOTANICOS SALIDOS Y LAQUIDOS, FORMULACION DE FERTILIZANTES, MEJORADORES DE SUELO ORGANICOS E INOCULANTES SALIDOS Y LIQUIDOS."
279,NOVEDADES AGRICOLAS DASA S.A. DE C.V.,LOTE 20,CERRO PRIETO II CARRETERA SAN FELIPE-CANAL PACIFICO,MEXICALI,,BAJA CALIFORNIA,15NV02002022,17/Nov/2015,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES ORGANICOS Y MEJORADORES DE SUELO SOLIDOS
280,NUEVA AGROINDUSTRAS DEL NORTE S.A. DE C.V.,"CARRETERA A EL DORADO SUR No. 4625, LOTE 16 CAMPO DIEZ",CAMPO DIEZ,CULIACAN,80396,SINALOA,11PNV250060021,17/May/2012,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE INSECTICIDAS SOLIDOS Y LIQUIDOS, FORMULACION DE FUNGICIDAS Y NEMATICIDAS LIQUIDOS, ENVASADO DE INSECTICIDAS, BACTERICIDAS, FUNGICIDAS, HERBICIDAS Y REGULADORES DE CRECIMIENTO LIQUIDOS, ENVASADO DE FERTILIZANTES SOLIDOS Y LIQUIDOS."
281,NUTRE GOLF S.A. DE C.V.,PERIFERICO S/N,LA TRINIDAD VMC,TEXCOCO,56130,ESTADO DE MEXICO,16 NV 15 099 19,42583,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),"FORMULACIAN DE FERTILIZANTES (INORGANICOS, ORGANICOS Y ORGANOMINERALES), LAQUIDOS Y SALIDOS"
282,NUTRIAGRO S.A. DE C.V.,CARRETERA MOCHIS -TOPOLOBAMPO S/N KM 4,FLORES MAGON,AHOME,81371,SINALOA,06FNV250010002,11/Apr/2006,FORMULACION DE NUTRIENTES VEGETALES,FERTILIZANTES LIQUIDOS Y SOLIDOS
283,"NUTRICIAN VEGETAL, S.A. DE C.V.",COLIMA No. 220,EL MANTE,ZAPOPAN,45235,JALISCO,16NV1412020,02/Aug/2016,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE FERTILIZANTES ORGANICOS E INORGANICOS Y REGULADORES DE CRECIMIENTO LAQUIDOS.
284,NUTRILINE AGRO SCIENCE S. DE R.L.,CARRETERA PARRA A TIERRA FRIA 310,S/C,CORTAZAR,38480,GUANAJUATO,15NV1101110,20/Apr/2015,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES Y REGULADORES DE CRECIMIENTO LIQUIDOS Y SOLIDOS.
285,NUTRIMENTOS MINERALES DE HIDALGO S.A. DE C.V.,ORIENTE 5 LOTE 1A MANZANA 8,CIUDAD INDUSTRIAL,TIZAYUCA,43800,HIDALGO,94131,,ELABORACION DE FERTILIZANTES,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
286,NUTRIMENTOS SUSTENTABLES PARA LA AGRICULTURA S.A. DE C.V.,EMILIANO ZAPATA No. 11,CASASANO,CUAUTLA,62749,MORELOS,16NV1700614,17/Jun/2016,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),"FORMULACION DE FERTILIZANTES ORGANICOS, INORGANICOS Y ORGANOMINERALES, REGULADORES DE CRECIMIENTO, MEJORADORES DE SUELO, E INOCULANTES LIQUIDOS"
287,NUTRIMENTOS VEGETALES S.A. DE C.V.,CAMINO A LA LUMBRERA S/N,PARAJE DE LA LUMBRERA,HUIXQUILUCAN,52798,MAXICO,09NV150370025,03/Apr/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FORMULACION DE FERTILIZANTES LIQUIDOS
288,NUTRIMENTOS VEGETALES S.A. DE C.V.,AV. MIGUEL HIDALGO NO. 188,SAN MIGUEL AMEYALCO,LERMA,52040,ESTADO DE MEXICO,14NV1505113,02/Sep/2014,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),"REGULADORES DE CRECIMIENTO, MEJORADORES DE SUELO LIQUIDOS Y FERTILIZANTES LIQUIDOS Y SOLIDOS.
MEZCLAS FISICAS."
289,NUTRIVE S.A. DE C.V.,CARRETERA CULIACAN- NAVOLATO KM 23.5 A ORILLA DE SURCOTON Y DREN LATERAL ORIENTE,,NAVOLATO,80370,SINALOA,05FNV250180009,28/Sep/2005,FORMULACION DE NUTRIENTES VEGETALES,FERTILIZANTES LIQUIDOS
290,NUVA PLANTA FERTIL S.A. DE C.V.,PROLONGACIAN LAS GARZAS No. 39,FRACCIONAMIENTO LAS GOLONDRINAS,ZAPOPAN,45200,JALISCO,14NV1412011,04/Aug/2014,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES Y REGULADORES DE CRECIMIENTO LIQUIDOS Y SOLIDOS.
291,OMEGA CHEMICALS S.A. DE C.V.,EJE 120 NO. 325,ZONA INDUSTRIAL PRIMERA SECCION,SAN LUIS POTOSI,78395,SAN LUIS POTOSI,13NV2402821,22/Aug/2013,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES INORGANICOS  LIQUIDOS
292,ORGANIC S. A. DE C. V.,AV. AGUASCALIENTES NO. 1006,EL MAGUEY,AGUASCALIENTES,20179,AGUASCALIENTES,09NV010010005,05/Mar/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FORMULACION DE INOCULANTES SOLIDOS Y LIQUIDOS
293,"ORGANICOS TRIASPER, S.P.R. DE R.L.",16 DE SEPTIEMBRE ESQUINA TEJADA No. 104,CENTRO,URUAPAN,60000,MICHOACAN,16 NV 16 102 21,18/Aug/2019,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE  MEJORADORES DE SUELO ORGANICOS LAQUIDOS.
,ORGANO SINTESIS S. A. DE  C. V.,KM 10.8 CARR DE AMOMOLUCO A SANTIAGO,SAN NICOLAS TLAZALA,CAPULHUAC,52700,MAXICO,06FP150190001,16/Feb/2006,FABRICACION Y FORMULACION DE PLAGUICIDAS,FUNGICIDAS SOLIDOS Y LIQUIDOS Y BIOCIDAS LIQUIDOS
295,ORGAQUIM S.A. DE C.V.,AV. 2 DE MAYO LOTE 3 Y 4  MANZANA 1,PARQUE INDUSTRIAL CUAUTLA,CD. AYALA,,MORELOS,94107,,FABRICACION Y VENTA DE PRODUCTOS QUIMICOS INDUSTRIALES Y AGROPECUARIOS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
296,OSMOSE MEXICANA S.A DE C.V.,ROMULO OFARRIL No. 344,OLIVAR DE LOS PADRES,ALVARO OBREGON,01780,DISTRITO FEDERAL,09PNV090010006,23/Mar/2010,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS",FORMULACION DE FUNGICIDAS-BACTERICIDAS E INSECTICIDAS SOLIDOS Y LIQUIDOS
297,PACIFEX S.A. DE C.V.,"CARRETERA AL CAMPO 35-LATERAL 18,",ZONA INDUSTRIAL SANTA ROSA,"AHOME, LOS MOCHIS",81223,SINALOA,05FNV250010003,17/Jun/2005,FABRICACION DE NUTRIENTES VEGETALES,"UREA, AZUFRE FERTILIZANTE, SULFATO DE POTASIO Y DE AMONIO, FOSFATO MONOAMONIO, CLORURO DE POTASIO, SULFATO DE POTASIO- MAGNESIO, REGISTRO MULTIPLE (BORO GRANULADO, OXISULFATO DE FIERRO, BORATO SOLUBLE, OXISULFATO DE ZINC, OXISULFATO DE MANGANESO, SULFATO"
298,PACIFIC GROWERS S.A. DE C.V.,AV. SAN MIGUEL 2052,AGUABLANCA,ZAPOPAN,44570,JALISCO,05FNV141200003,05/Apr/2005,FORMULACION DE NUTRIENTES VEGETALES,FORMULACION DE FERTILIZANTES LIQUIDOS
299,PALAU BIOQUIM S.A. DE C.V.,GRANJA MARIA DE LA LUZ S/N,ARROYO DEL PUEBLO,SALTILLO,25000,COAHUILA,06FNV050300006,08/May/2006,FORMULACION DE NUTRIENTES VEGETALES,FORMULACION DE FERTILIZANTES LIQUIDOS
300,PALAU BIOQUIM S.A. DE C.V.,"CARRETERA ""LOS PINOS"" LOTE C-2",LA ESMERALDA PONIENTE,RAMOS ARIZPE,,COAHUILA,12NV050270016,16/Mar/2012,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES Y REGULADORES DE CRECIMIENTO LIQUIDOS.
301,PESCAHARINA DE GUAYMAS S.A. DE C.V.,CALLE 1 SUR LOTE 5 MANZANA H,PARQUE INDUSTRIAL PESQUERO R. SANCHEZ TABOADA,GUAYMAS,85486,SONORA,16NV2602913,07/Jun/2016,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES ORGANICOS LAQUIDOS
302,PETA'S PHARMA DE MEXICO S.A. DE C.V.,CARRETERA YAUTEPEC-TLAYACAPAN NO. 85,LAS VIVIANAS,TLAYACAPAN,62540,MORELOS,14P1702620,21/Oct/2014,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)","FORMULACION DE INSECTICIDAS, ACARICIDAS, FUNGICIDAS LIQUIDOS Y SOLIDOS (INCLUYENDO LA PRESENTACION EN COLLAR PARA USO VETERINARO)"
303,PETROAGRO  S.A.DE C.V.,"CARRET. GUADALAJARA EL CASTILLO KM. 10.5, LOTE 10 MZ 2",PARQUE INDUSTRIAL EL SALTO,EL SALTO,45680,JALISCO,04FPNV140700004,06/Sep/2004,"325310 FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES) 325320 FABRICACIAN DE PESTICIDAS Y OTROS AGROQUAMICOS, EXCEPTO FERTILIZANTES (SALO PLAGUICIDAS)","GLYF 360, TRANSQUAT, LIBERO 480,FORTE,KAIZER,TRAMOFOS-600, ROTOR 40,MAUSER 720, MAUSER 47, HUNTER 1000, HUNTER 520 C.E., RODEO 50PH, KOCIFOL MCW,KEELEX DE FIERRO, NUTRAFER NPK 10-30-10, NUTRAFER 20-30-10, FOSNITRO LIQUIDO, FOSNITRO SOLIDO, UREA NEW GREEN,"
304,PETROCARBONO S.A. DE C.V.,ORIENTE 10 No. 12,NUEVO PARQUE INDUSTRIAL,SAN JUAN DEL RIO,76800,QUERETARO,11P220160008,24/Jun/2011,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACION DE FUNGICIDAS SOLIDOS
305,PFIZER S.A DE C.V,KM 63 CARRETERA MEXICO-TOLUCA,TOLUCA,TOLUCA,,MAXICO,94094,,ELABORACION Y COMERCIO DE AGROQUIMICOS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
306,PHYTO NUTRIMENTOS DE MEXICO S. A. DE C. V.,PROL. LEONA VICARIO NO. 1355,EL CHIRIMOYO,MARAVATIO,61250,MICHOACAN,06FNV160500006,30/Aug/2006,FORMULACION DE NUTRIENTES VEGETALES,FERTILIZANTES Y REGULADORES DE CRECIMIENTO LIQUIDOS Y SOLIDOS.
307,PHYTORGANIC S.A. DE C.V.,ANSELMO LOPEZ ARAMBULA No. 304,CIUDAD INDUSTRIAL,AGUASCALIENTES,20290,AGUASCALIENTES,08NV010010004,08/Dec/2008,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FORMULACION DE FERTILIZANTES LIQUIDOS
308,PIVEG S.A. DE C.V.,CAMINO A SAN JOSE DE GUANAJUATO S/N,EX HACIENDA DE ESTRADA,CELAYA,38020,GUANAJUATO,12P110460034,08/Jan/2013,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACION DE INSECTICIDAS LIQUIDOS (SOLO DE ORIGEN BOTANICO)
309,PLANT HEALTH CARE DE MEXICO S. DE R.L. DE C.V.,AV. CEYLAN No. 959 BODEGA No. 26,INDUSTRIAL VALLEJO,AZCAPOTZALCO,02300,DISTRITO FEDERAL,08P090020003,26/Sep/2011,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS.","ENVASADO DE FUNGICIDAS SOLIDOS, INSECTICIDAS LIQUIDOS Y FERTILIZANTES SOLIDOS Y LIQUIDOS."
310,POLAQUIMIA  S.A. DE C.V.,"KM 144 CARRETERA FEDERAL MEXICO-VERACRUZ
S/N",SAN COSME,XALOZTOC,90460,TLAXCALA,07P290390006,17/Sep/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS",FABRICACION DE FUNGICIDAS Y HERBICIDAS  LIQUIDOS Y SOLIDOS
311,PROAGRO DEL NOROESTE S.A. DE C.V.,CARR. CULIACAN EL DORADO KM. 27.5,,CULIACAN,80060,SINALOA,03FP250060001,13/Apr/2009,"FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS",FORMULACION DE INSECTICIDAS SOLIDOS Y LIQUIDOS Y ENVASADO DE FERTILIZANTES LIQUIDOS
312,PROBIOTICOS DEL NOROESTE S.A. DE C.V.,CARRETERA INTERNACIONAL NO. 15 KM 15.8,LIMON DE RAMOS,CULIACAN,,SINALOA,05FNV250060004,22/Jul/2005,FORMULACION DE NUTRIENTES VEGETALES,FERTILIZANTES LIQUIDOS
313,PROCESADORA DE GALLINAZA S.A. DE C.V.,CARRETERA ZUAZUA-MARIN KM 3,CENTRO,GENERAL ZUAZUA,65750,NUEVO LEON,05FNV190250001,01/Feb/2005,FORMULACION DE NUTRIENTES VEGETALES,FORMULACION DE FERTILIZANTES ORGANICOS SOLIDOS Y MEJORADORES DE SUELO ORGANICOS SOLIDOS
314,PROCESADORA DE PRODUCTOS CONTRA INSECTOS S.A. DE C.V.,CALLE 8 DE JULIO NO. 1681,MORELOS,GUADALAJARA,44910,JALISCO,05FP140390006,06/Jun/2005,FABRICACION DE PLAGUICIDAS,FORMULACION DE INSECTICIDAS SOLIDOS
315,PROCESADORA PENINSULAR S.A DE C.V.,CALLE 15 No. 306,CIUDAD INDUSTRIAL,MERIDA,,YUCATAN,94AR049E,,FABRICACION Y COMPRAVENTA DE INSECTICIDAS (ESPIRALES REPELENTES DE MOSCOS),No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
316,PROCESOS AGROQUIMICOS S.A. DE C.V.,AV. DEL TRABAJO S/N,SEGUNDA SECCION DE PROGRESO DE ATOTONILCO,ATOTONILCO DE TULA,42890,HIDALGO,05FP130130002,01/Sep/2005,FABRICACION DE PLAGUICIDAS,"HERBICIDAS,  INSECTICIDAS,  FUNGICIDAS, ACARICIDAS SOLIDOS Y LIQUIDOS Y FUMIGANTES SOLIDOS"
317,PROCOPLA S.A. DE C.V.,BAHIA SAN CARLOS No. 48,MIRAMAR,ZAPOPAN,45060,JALISCO,13P1412022,22/Aug/2013,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SALO PLAGUICIDAS)",FORMULACIAN DE INSECTICIDAS EN GEL
318,PRODUCTORA Y ENVASADORA EXTERMINADOR,CERRADA VICENTE GUERRERO NO.9,AMADOR SALAZAR,YAUTEPEC,06270,MORELOS,03FP170290001,17/Nov/2003,"FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS","EXTERMINADOR, CUCARACHICIDA BORAX A BASE DE ACIDO BORICO"
319,PRODUCTORES Y DISTRIBUIDORES FARFAN S. DE P.R. DE R.L.,NICOLAS BRAVO No. 107,S/C,ZINACANTEPEC,51370,MAXICO,11NV151180030,29/Oct/2013,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES LIQUIDOS.
320,PRODUCTOS AGRICOLAS DE NUEVO SAN JUAN PARANGARICUTIRO,MIGUEL RINCON S/N,LA PINERA,URUAPAN,60090,MICHOACAN,13NV1610210,05/Apr/2013,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),MEZCLAS FISICAS DE FERTILIZANTES SOLIDOS.
321,PRODUCTOS BIOGENETICOS DE MEXICO S.A. DE C.V.,CAMINO LA AURORA No. 2000,AEROPUERTO,ALAMOS,85760,SONORA,14NV2600302,24/Jan/2014,FABRICACIAN DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACIAN DE INOCULANTES ORGANICOS LIQUIDOS
322,PRODUCTOS BLITZER S.A. DE C.V.,PEDRO LOZA No. 300,SAN AGUSTIN,TLAJOMULCO DE ZUAIGA,,JALISCO,11NV140970021,30/Aug/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),"FORMULACION DE FERTILIZANTES, MEJORADORES DE SUELO Y HUMECTANTES LIQUIDOS."
323,PRODUCTOS FARMACEUTICOS S.A. DE C.V.,CARRETERA A PABELLON DE HIDALGO KM. 4.2,SC,RINCON DE ROMOS,20420,AGUASCALIENTES,12P010070006,29/May/2012,"FABRICACION DE PESTICIDAS Y OTROS AGROQUIMICOS, EXCEPTO FERTILIZANTES (SOLO PLAGUICIDAS)",FORMULACION DE INSECTICIDAS LIQUIDOS.
324,"PRODUCTOS FARMACEUTICOS S.A. DE C.V.  ""CHINOIN""",LAGO TANGAAICA No 18,GRANADA,MIGUEL HIDALGO,,DISTRITO FEDERAL,99001,,MEZCLA DE INSECTICIDAS Y PLAGUICIDAS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
325,PRODUCTOS QUIMICOS DE CHIHUAHUA S.A. DE C.V.,BLVD. VICENTE LOMBARDO TOLEDANO No. 6615,CONCORDIA,CHIHUAHUA,31375,CHIHUAHUA,12PNV080190011,02/May/2013,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE HUMECTANTES LIQUIDOS, INOCULANTES LIQUIDOS Y SOLIDOS, FERTILIZANTES LIQUIDOS Y SOLIDOS, REGULADORES DE CRECIMIENTO LIQUIDOS Y SOLIDOS, MEJORADORES DE SUELO LIQUIDOS Y SOLIDOS, NEMATICIDAS LIQUIDOS Y SOLIDOS, FUNGICIDAS SOLIDOS, FUNGICIDAS-BACTERICIDAS SOLIDOS."
326,PRODUCTOS QUIMICOS Y MINERALES S.A. DE C.V.,PROLONGACION CONSTITUCION 901,LA FAMA,SANTA CATARINA,66179,NUEVO LEON,09PNV190480016,19/Mar/2009,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS",FORMULACION DE INSECTICIDAS Y FERTILIZANTES SOLIDOS Y LIQUIDOS
327,PRODUCTOS QUIMICOS Y MINERALES S.A. DE C.V.,COBRE No. 9333,CIUDAD INDUSTRIAL MITRAS,GARCAA,66025,NUEVO LEON,11PNV190180022,14/Oct/2011,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE INSECTICIDAS-ACARICIDAS (LAQUIDOS Y SALIDOS), FORMULACIAN DE FERTILIZANTES (LAQUIDOS Y SALIDOS)"
328,PRODUCTOS TERRAFER S.A. DE C.V.,DONALD G. NORRIS NO. 1601,INDEPENDENCIA,IRAPUATO,36680,GUANAJUATO,05FNV110170014,17/Nov/2005,FORMULACION DE NUTRIENTES VEGETALES,FERTILIZANTES SOLIDOS
329,PROMOTORA DE FERTILIZANTES DEL BAJIO S.A. DE C.V.,Km. 6.7 CARRETERA CELAYA-SALVATIERRA,S/C,CELAYA,38090,GUANAJUATO,11NV110070029,09/Jun/2011,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FORMULACION DE FERTILIZANTES SOLIDOS
330,PROMOTORA NACIONAL AGROPECUARIA MEXICANA S.A. DE C.V,LOTE 5 MANZANA 13,PARQUE INDUSTRIAL ATLACOMULCO,ATLACOMULCO,50450,MAXICO,05FNV150140011,24/May/2005,FABRICACION DE NUTRIENTES VEGETALES,ENVASADO DE FERTILIZANTES INORGANICOS SOLIDOS
331,PROMOTORA TECNICA INDUSTRIAL S.A. DE C.V.,56 SUR MANZANA 1 LOTE 13,C.I.V.A.C.,JIUTEPEC,,MORELOS,98005,,MEZCLA DE PLAGUICIDAS E INSECTICIDAS Y FABRICA DE PRODUCTOS QUIMICOS BASICOS ORGANICOS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
332,PROSI PVS CHEMICALS S.A. DE C.V.,AV. SALAMANCA ESQ. SAN MIGUEL DE ALLENDE S/N,CIUDAD INDUSTRIAL,IRAPUATO,36541,GUANAJUATO,12NV110170032,26/Nov/2012,FABRICACION DE FERTILIZANTES (NUTRIENTES VEGETALES),FABRICACION DE FERTILIZANTES SOLIDOS.
333,PROVEEDORA AGROINDUSTRAL DE SINALOA S.A. DE C.V.,CARRETERA LA  20 KM 2 NO. 5501 PTE.,SINDICATURA DE COSTA RICA,CULIACAN,,SINALOA,99002,,MEZCLA DE INSECTICIDAS Y PLAGUICIDAS,No disponible (ESPECIFICADO EN LA CLASIFICACION O GIRO)
334,PROVINDUSTRIAS DE OCCIDENTE S.A. DE C.V.,PROL AVENIDA JUAREZ NO. 190,TLAJOMULCO,TLAJOMULCO DE ZUNAIGA,45640,JALISCO,04FP140970005,06/Sep/2004,FABRICACION DE PLAGUICIDAS,FORMULACION DE PLAGUICIDAS LIQUIDOS Y SOLIDOS (INSECTICIDAS-ACARICIDAS)
335,PYC FERTILIZANTES S.A. DE C.V.,DOMICILIO CONOCIDO,EJIDO RANCHO NUEVO,COSAMALOAPAN,95421,VERACRUZ,08NV300450020,15/Apr/2008,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES",FORMULACION  FERTILIZLANTES SOLIDOS.
336,QUIMAGRO INDUSTRIAL S. A. DE C. V.,CARRETERA INTERNACIONAL KM 1618,ZONA INDUSTRIAL JIQUILPAN,AHOME,81200,SINALOA,07P250010011,15/Mar/2007,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE PLAGUICIDAS",FORMULACION DE INSECTICIDAS SOLIDOS
337,QUIMCASA DE MEXICO S.A. DE C.V.,"AV. 16 DE SEPTIEMBRE No. 777 PISO 2, BODEGA 1",ALCE BLANCO,NAUCALPAN DE JUAREZ,53370,MAXICO,11PNV150570029,09/Mar/2011,"FABRICACION, FORMULACION, MEZCLA O ENVASADO DE NUTRIENTES VEGETALES Y PLAGUICIDAS","FORMULACION DE FERTILIZANTES (LIQUIDOS), FORMULACION DE FUNGICIDAS, BACTERICIDAS, INOCULANTES Y REGULADORES DE CRECIMIENTO (LIQUIDOS)"
